   143/299     1.52G    0.0193   0.01112  0.008173   0.03859         8       640    0.8953    0.8825    0.9377    0.7201    0.0373  0.007033  0.009279
   144/299     1.52G   0.01939   0.01153  0.006622   0.03754        15       640    0.8944    0.8983    0.9365    0.7224   0.03734  0.007139   0.00868
   145/299     1.52G   0.01961   0.01113  0.006918   0.03766         3       640    0.9278     0.898    0.9447    0.7313   0.03685  0.007171  0.008141
   146/299     1.52G    0.0188   0.01111   0.00705   0.03696         5       640     0.906     0.902    0.9374    0.7245   0.03673  0.007114  0.007604
   147/299     1.52G   0.01961   0.01151  0.008325   0.03944         3       640    0.8958    0.8933    0.9429    0.7354   0.03658  0.007106  0.008351
   148/299     1.52G   0.01864   0.01088  0.007652   0.03717         3       640     0.901    0.9168    0.9489    0.7234   0.03678  0.007185  0.009193
   149/299     1.52G    0.0195   0.01137   0.00706   0.03793         7       640    0.8997    0.8848    0.9435    0.7214   0.03679  0.007209  0.008369
   150/299     1.52G   0.01829   0.01098  0.006717   0.03599         2       640    0.9129    0.8643    0.9401    0.7419    0.0367  0.007337  0.007481
   151/299     1.52G   0.01847   0.01092  0.008124   0.03751         3       640     0.898    0.8795    0.9379     0.731   0.03679  0.007092  0.007028
   152/299     1.52G    0.0191   0.01079   0.00638   0.03627        10       640    0.9215    0.8903    0.9492    0.7342    0.0366  0.007101  0.005674
   153/299     1.52G   0.01974   0.01088  0.007705   0.03833         4       640    0.8978    0.8947     0.945     0.729   0.03697  0.007225  0.006423
   154/299     1.52G   0.01876   0.01107  0.007344   0.03717         6       640    0.8986    0.8849    0.9482    0.7393   0.03663   0.00717  0.007863
   155/299     1.52G   0.01981   0.01077  0.006901   0.03748         7       640    0.8688    0.9068    0.9398    0.7316    0.0366  0.007057  0.007113
   156/299     1.52G   0.01896   0.01106  0.007163   0.03718         6       640    0.8946      0.91    0.9531    0.7534   0.03666  0.006979  0.006584
   157/299     1.52G   0.01865   0.01047  0.006971   0.03609         7       640    0.9108    0.8989    0.9526    0.7383   0.03749   0.00715  0.007603
   158/299     1.52G   0.01925   0.01105  0.007804   0.03811        11       640     0.954    0.8843    0.9592    0.7441   0.03788  0.007014  0.008311
   159/299     1.52G   0.01906   0.01083  0.008514    0.0384         6       640    0.9203    0.8901    0.9531    0.7491   0.03839   0.00681  0.007866
   160/299     1.52G   0.01931   0.01127  0.007572   0.03815         9       640    0.9183    0.9242    0.9537    0.7475   0.03826  0.007096  0.007671
   161/299     1.52G   0.01924   0.01132  0.007932   0.03849         7       640     0.927    0.8985    0.9476    0.7372   0.03782  0.007198  0.008983
   162/299     1.52G   0.01837   0.01074  0.006668   0.03577         4       640    0.8942    0.9052    0.9475    0.7465   0.03808  0.007012  0.008614
   163/299     1.52G   0.01854   0.01049  0.005869    0.0349         7       640    0.9163    0.8908     0.949    0.7436   0.03782   0.00701   0.00878
   164/299     1.52G   0.01816   0.01054  0.007237   0.03594         6       640     0.886    0.9284    0.9543    0.7572   0.03745  0.006881  0.009276
   165/299     1.52G   0.01879   0.01067  0.007381   0.03684         9       640    0.9081    0.9119    0.9522    0.7512   0.03827  0.006962  0.008912
   166/299     1.52G   0.01898   0.01086  0.006958    0.0368         9       640     0.902    0.8969    0.9514    0.7478    0.0384  0.007015  0.008302
   167/299     1.52G   0.01809   0.01096  0.006836   0.03588         5       640     0.874     0.914    0.9453    0.7381     0.038  0.007043  0.008831
   168/299     1.52G   0.01751   0.01079  0.007226   0.03553         6       640    0.9005    0.9101     0.952    0.7474   0.03777  0.007018  0.009128
   169/299     1.52G   0.01727   0.01049  0.005453   0.03322         3       640    0.8984    0.9103    0.9513    0.7469   0.03754  0.006857   0.00856
   170/299     1.52G   0.01844   0.01082  0.006135    0.0354         5       640    0.9147    0.8993    0.9439    0.7452   0.03829  0.006766  0.007265
   171/299     1.52G   0.01918   0.01072  0.007213   0.03712         3       640    0.9237    0.9023    0.9527     0.754   0.03812  0.006807  0.007785
   172/299     1.52G    0.0186   0.01114  0.007295   0.03704         8       640    0.8949    0.9119    0.9419     0.739   0.03774  0.006886  0.007631
   173/299     1.52G   0.01837   0.01086  0.005712   0.03495         6       640    0.9059    0.8964     0.949    0.7457   0.03756  0.006874  0.007371
   174/299     1.52G   0.01781   0.01089  0.006061   0.03475         8       640    0.9085    0.8841    0.9532    0.7493   0.03762  0.006985  0.008231
   175/299     1.52G   0.01816   0.01075  0.006107   0.03501         6       640    0.9228    0.9088    0.9504    0.7456   0.03774  0.006915  0.008879
   176/299     1.52G   0.01846    0.0109  0.005972   0.03534         5       640    0.9101    0.9291    0.9534    0.7527   0.03718  0.006861  0.007758
   177/299     1.52G   0.01639   0.01014  0.005725   0.03225         5       640    0.9024    0.8835      0.94    0.7363   0.03711  0.006908  0.007503
   178/299     1.52G   0.01799   0.01039   0.00633   0.03471         7       640    0.8965    0.9167    0.9486    0.7438   0.03738    0.0072  0.008179
   179/299     1.52G   0.01844   0.01059  0.006049   0.03507         7       640    0.8707    0.9136    0.9421    0.7432   0.03733  0.006941  0.008984
   180/299     1.52G    0.0191   0.01098  0.007247   0.03733         7       640    0.8804    0.9084    0.9369    0.7355   0.03706  0.006983  0.009221
   181/299     1.52G    0.0176   0.01051  0.005233   0.03333         8       640     0.882    0.9039     0.947    0.7405   0.03667  0.007097  0.008668
   182/299     1.52G   0.01799   0.01059  0.006698   0.03528         7       640    0.9175    0.9014    0.9557    0.7519    0.0367  0.007113  0.008012
   183/299     1.52G    0.0171   0.01032   0.00585   0.03327        10       640    0.9023    0.9094    0.9535    0.7533   0.03627  0.006993  0.008273
   184/299     1.52G   0.01724   0.01071  0.005652    0.0336         6       640     0.901    0.9281    0.9542    0.7577   0.03614  0.006936  0.007899
   185/299     1.52G   0.01777   0.01023  0.006045   0.03405         3       640    0.9175    0.9185    0.9614    0.7566    0.0365  0.007054  0.007611
   186/299     1.52G    0.0172   0.01031  0.006539   0.03405         4       640    0.9272    0.8909    0.9544    0.7552   0.03662  0.006843  0.007681
   187/299     1.52G   0.01789    0.0105  0.006967   0.03536         7       640    0.9202    0.9003    0.9574    0.7644   0.03642  0.006793  0.007052
   188/299     1.52G   0.01811   0.01023  0.006847   0.03519         5       640    0.9248    0.8961    0.9535     0.762   0.03599  0.006764  0.007669
   189/299     1.52G   0.01703   0.01034   0.00569   0.03306         5       640    0.9235    0.8963    0.9537    0.7592   0.03596  0.006875  0.007659
   190/299     1.52G   0.01706   0.01073  0.005629   0.03341         4       640    0.9399    0.9004    0.9557    0.7613   0.03604  0.006757  0.007123
   191/299     1.52G   0.01817   0.01064  0.006361   0.03517         9       640    0.9397    0.8691    0.9496    0.7552   0.03604  0.006833  0.007448
   192/299     1.52G   0.01728   0.01015  0.005622   0.03305         2       640    0.9203    0.9033    0.9527    0.7663   0.03577  0.006933  0.007047
   193/299     1.52G   0.01735   0.01037  0.005464   0.03319         8       640    0.9019    0.9178    0.9561     0.763   0.03644  0.006863  0.007254
   194/299     1.52G   0.01836   0.01078  0.005503   0.03465        11       640     0.919     0.896    0.9544    0.7556   0.03642  0.006926  0.007909
   195/299     1.52G    0.0174   0.01035  0.005674   0.03342         8       640    0.9145    0.9047    0.9519    0.7623   0.03624  0.006902  0.008141
   196/299     1.52G   0.01738   0.01033  0.005368   0.03307         6       640    0.8946    0.9014    0.9493    0.7574   0.03633  0.006811   0.00808
   197/299     1.52G   0.01759   0.01011  0.006171   0.03387         5       640    0.9026     0.922    0.9572      0.77   0.03638   0.00679  0.007705
   198/299     1.52G   0.01766   0.01008  0.004963    0.0327         7       640    0.9213    0.9057     0.948    0.7549   0.03689  0.006757  0.007887
   199/299     1.52G   0.01666  0.009997  0.005082   0.03174        11       640    0.9554    0.8847    0.9573    0.7582   0.03674  0.006798  0.008175
   200/299     1.52G   0.01792   0.01024  0.005535    0.0337         6       640    0.9357    0.8995     0.954    0.7601    0.0366  0.006794  0.007673
   201/299     1.52G   0.01625   0.01026  0.005891    0.0324         7       640     0.915    0.9113    0.9535    0.7621   0.03644   0.00673  0.006687
   202/299     1.52G   0.01798   0.01032  0.006536   0.03483         6       640    0.8973    0.9104    0.9516    0.7639   0.03691  0.006783  0.006921
   203/299     1.52G   0.01797    0.0102  0.005701   0.03387         7       640    0.9493    0.8766    0.9594    0.7735   0.03561  0.006826  0.007476
